CustomerID,Lookalikes
C0001,"[('C0107', 0.02), ('C0152', 0.04), ('C0048', 0.07)]"
C0002,"[('C0142', 0.02), ('C0159', 0.03), ('C0088', 0.04)]"
C0003,"[('C0052', 0.09), ('C0120', 0.12), ('C0112', 0.16)]"
C0004,"[('C0113', 0.01), ('C0165', 0.02), ('C0012', 0.03)]"
C0005,"[('C0186', 0.0), ('C0123', 0.02), ('C0140', 0.02)]"
C0006,"[('C0168', 0.05), ('C0187', 0.07), ('C0107', 0.1)]"
C0007,"[('C0135', 0.03), ('C0070', 0.06), ('C0043', 0.07)]"
C0008,"[('C0194', 0.08), ('C0109', 0.1), ('C0156', 0.1)]"
C0009,"[('C0198', 0.01), ('C0063', 0.04), ('C0060', 0.04)]"
C0010,"[('C0166', 0.08), ('C0197', 0.11), ('C0132', 0.11)]"
C0011,"[('C0048', 0.02), ('C0137', 0.03), ('C0190', 0.04)]"
C0012,"[('C0004', 0.03), ('C0099', 0.03), ('C0188', 0.04)]"
C0013,"[('C0155', 0.01), ('C0104', 0.01), ('C0163', 0.03)]"
C0014,"[('C0058', 0.02), ('C0020', 0.02), ('C0110', 0.02)]"
C0015,"[('C0035', 0.04), ('C0033', 0.04), ('C0060', 0.05)]"
C0016,"[('C0183', 0.11), ('C0118', 0.19), ('C0137', 0.2)]"
C0017,"[('C0075', 0.02), ('C0175', 0.03), ('C0084', 0.06)]"
C0018,"[('C0182', 0.17), ('C0087', 0.21), ('C0153', 0.24)]"
C0019,"[('C0172', 0.02), ('C0088', 0.17), ('C0119', 0.17)]"
C0020,"[('C0058', 0.0), ('C0144', 0.01), ('C0014', 0.02)]"
